date,Mahalle,total_time_in_neigh_sec,total_dist_in_neigh_km,total_idle_in_neigh_sec,total_stop_in_neigh_sec,total_points,vehicles_served,total_time_in_neigh_hr,total_idle_in_neigh_hr,total_stop_in_neigh_hr
2025-12-19,19 Mayıs Mh.,22579.0,50625.19,21167.0,21167.0,1636,4,6.271944444444444,5.879722222222222,5.879722222222222
2025-12-19,23 Nisan Mh.,9818.0,93854.34,6231.0,6231.0,1217,39,2.727222222222222,1.7308333333333332,1.7308333333333332
2025-12-19,29 Ekim Mh.,19460.0,49190.31,16968.0,22259.0,1261,20,5.405555555555556,4.713333333333333,6.183055555555556
2025-12-19,30 Ağustos Zafer Mh.,35844.0,55041.32,36209.0,36209.0,1610,9,9.956666666666667,10.058055555555555,10.058055555555555
2025-12-19,Ahmet Yesevi Mh.,10662.0,79968.67,4005.0,5869.0,1181,39,2.9616666666666664,1.1125,1.6302777777777777
2025-12-19,Akçalar Mh.,17551.0,110566.64,15492.0,15492.0,1326,2,4.875277777777778,4.303333333333334,4.303333333333334
2025-12-19,Alaaddinbey Mh.,1277398.0,736505.5,35558042.0,147260815.0,14811,42,354.8327777777778,9877.233888888888,40905.78194444445
2025-12-19,Altınşehir Mh.,15218.0,41394.84,16507.0,17214.0,939,11,4.227222222222222,4.585277777777778,4.781666666666666
2025-12-19,Ataevler Mh.,7767.0,47719.85,4830.0,5403.0,786,23,2.1575,1.3416666666666666,1.5008333333333332
2025-12-19,Atlas Mahallesi,3.0,60.15,0.0,0.0,3,1,0.0008333333333333334,0.0,0.0
2025-12-19,Atlas Mh.,4046.0,31503.8,2476.0,17245.0,1877,1,1.123888888888889,0.6877777777777778,4.790277777777778
2025-12-19,Ayvaköy Mahallesi,8.0,54.35,0.0,0.0,1,1,0.0022222222222222222,0.0,0.0
2025-12-19,Ayvaköy Mh.,948.0,4048.7200000000003,568.0,568.0,76,1,0.2633333333333333,0.15777777777777777,0.15777777777777777
2025-12-19,Balat Mh.,21406.0,176066.41,18690.0,19526.0,2605,39,5.946111111111111,5.191666666666666,5.4238888888888885
2025-12-19,Balat OSB Mh.,3183.0,36508.89,86.0,429.0,468,38,0.8841666666666667,0.02388888888888889,0.11916666666666667
2025-12-19,Balkan Mh.,13318.0,92916.08,13380.0,32427.0,2856,7,3.6994444444444445,3.716666666666667,9.0075
2025-12-19,Barış Mh.,20601.0,53324.969999999994,489.0,22881.0,1022,10,5.7225,0.13583333333333333,6.355833333333333
2025-12-19,Başköy Mh.,4640.0,44403.659999999996,1662.0,1662.0,412,5,1.288888888888889,0.46166666666666667,0.46166666666666667
2025-12-19,Beşevler Mh.,14236.0,86539.0,6357.0,10895.0,1364,24,3.9544444444444444,1.7658333333333334,3.026388888888889
2025-12-19,Büyükbalıklı Mh.,600.0,3435.42,1205.0,1205.0,39,2,0.16666666666666666,0.3347222222222222,0.3347222222222222
2025-12-19,Cumhuriyet Mh.,33729.0,23655.39,35168.0,37588.0,1312,8,9.369166666666667,9.768888888888888,10.44111111111111
2025-12-19,Demirci Mh.,6001.0,34225.15,1835.0,2191.0,1174,22,1.6669444444444443,0.5097222222222222,0.6086111111111111
2025-12-19,Doğanköy Mh.,9419.0,75766.38,9228.0,9228.0,1064,23,2.616388888888889,2.5633333333333335,2.5633333333333335
2025-12-19,Dumlupınar Mh.,46937.0,100344.78,41885.0,49866.0,2693,13,13.038055555555555,11.634722222222223,13.851666666666667
2025-12-19,Ertuğrul Mh.,11919.0,43209.630000000005,8361.0,9162.0,839,20,3.3108333333333335,2.3225,2.545
2025-12-19,Esentepe Mh.,37387.0,117470.8,42157.0,85652.0,2714,13,10.385277777777778,11.710277777777778,23.79222222222222
2025-12-19,Fadıllı Mahallesi,9.0,58.73,0.0,0.0,1,1,0.0025,0.0,0.0
2025-12-19,Fadıllı Mh.,2746.0,11583.29,2015.0,2015.0,191,1,0.7627777777777778,0.5597222222222222,0.5597222222222222
2025-12-19,Fethiye Mh.,18311.0,39679.58,12108.0,13034.0,987,21,5.086388888888889,3.3633333333333333,3.6205555555555557
2025-12-19,Fethiye OSB Mh.,12255.0,187842.63999999998,3073.0,3352.0,2250,38,3.404166666666667,0.8536111111111111,0.9311111111111111
2025-12-19,Geçit Mh.,46844.0,485155.37,14185.0,32552.0,6951,40,13.012222222222222,3.9402777777777778,9.042222222222222
2025-12-19,Gökçe Mh.,120.0,1338.6,0.0,0.0,14,2,0.03333333333333333,0.0,0.0
2025-12-19,Gölyazı Mh.,5139.0,30729.44,6303.0,10739.0,272,1,1.4275,1.7508333333333332,2.9830555555555556
2025-12-19,Görükle Mh.,58891.0,301541.97,42783.0,57436.0,4288,23,16.35861111111111,11.884166666666667,15.954444444444444
2025-12-19,Gümüştepe Mh.,9446.0,80629.46,10313.0,10313.0,3629,3,2.6238888888888887,2.8647222222222224,2.8647222222222224
2025-12-19,Güngören Mh.,1905.0,4400.2,1207.0,1207.0,181,1,0.5291666666666667,0.3352777777777778,0.3352777777777778
2025-12-19,Hasanağa Mh.,6369.0,101155.19,9970.0,9970.0,1899,3,1.7691666666666668,2.7694444444444444,2.7694444444444444
2025-12-19,Hasanağa OSB Mh.,199.0,1457.03,0.0,0.0,21,1,0.05527777777777778,0.0,0.0
2025-12-19,Işıktepe Mh.,10174.0,28053.98,11549.0,14717.0,445,36,2.826111111111111,3.2080555555555557,4.088055555555556
2025-12-19,Işıktepe OSB Mh.,5691.0,77154.05,2998.0,3117.0,967,37,1.5808333333333333,0.8327777777777777,0.8658333333333333
2025-12-19,Kadriye Mh.,298.0,7037.78,215.0,215.0,298,1,0.08277777777777778,0.059722222222222225,0.059722222222222225
2025-12-19,Karacaoba Mh.,598.0,6581.82,276.0,276.0,52,2,0.1661111111111111,0.07666666666666666,0.07666666666666666
2025-12-19,Karaman Mh.,25399.0,66097.01,41821.0,63145.0,1786,10,7.0552777777777775,11.616944444444444,17.540277777777778
2025-12-19,Kayapa Mh.,16928.0,63490.990000000005,13883.0,15468.0,1944,8,4.702222222222222,3.856388888888889,4.296666666666667
2025-12-19,Konak Mh.,42524.0,47870.9,51711.0,57901.0,2818,13,11.812222222222223,14.364166666666666,16.08361111111111
2025-12-19,Korubaşı Mh.,700.0,2895.09,305.0,305.0,73,1,0.19444444444444445,0.08472222222222223,0.08472222222222223
2025-12-19,Kurtuluş Mh.,16818.0,82857.21,13604.0,13604.0,1424,13,4.671666666666667,3.778888888888889,3.778888888888889
2025-12-19,Kuruçeşme Mh.,733.0,23422.72,244.0,244.0,611,1,0.2036111111111111,0.06777777777777778,0.06777777777777778
2025-12-19,Kültür Mh.,1465.0,7621.8,333.0,695.0,203,6,0.40694444444444444,0.0925,0.19305555555555556
2025-12-19,Kızılcıklı Mh.,11297.0,97949.29,28309.0,28309.0,2889,2,3.1380555555555554,7.863611111111111,7.863611111111111
2025-12-19,Makşempınarı Mh.,2569.0,6742.6,2010.0,2010.0,213,1,0.7136111111111111,0.5583333333333333,0.5583333333333333
2025-12-19,Minareliçavuş Bursa OSB Mh.,1244.0,25748.52,78.0,78.0,300,38,0.34555555555555556,0.021666666666666667,0.021666666666666667
2025-12-19,Minareliçavuş Mh.,1314.0,8672.25,470.0,470.0,134,8,0.365,0.13055555555555556,0.13055555555555556
2025-12-19,Minareliçavuş OSB Mh.,789.0,4987.55,2.0,2.0,104,5,0.21916666666666668,0.0005555555555555556,0.0005555555555555556
2025-12-19,Nilüferköy Mh.,5184.0,106166.49,49.0,49.0,1440,39,1.44,0.01361111111111111,0.01361111111111111
2025-12-19,Odunluk Mh.,40070.0,53809.94,50835.0,60116.0,2051,8,11.130555555555556,14.120833333333334,16.698888888888888
2025-12-19,Tahtalı Mahallesi,58.0,292.32,55.0,55.0,8,4,0.01611111111111111,0.015277777777777777,0.015277777777777777
2025-12-19,Tahtalı Mh.,9370.0,15980.77,6783.0,6783.0,793,7,2.602777777777778,1.8841666666666668,1.8841666666666668
2025-12-19,Unçukuru Mh.,2328.0,9695.45,1552.0,1552.0,207,1,0.6466666666666666,0.4311111111111111,0.4311111111111111
2025-12-19,Yapı Kredi Bankası ATM - Bursa Görükle Çek Mahallesi,41.0,217.15,20.0,24.0,5,3,0.01138888888888889,0.005555555555555556,0.006666666666666667
2025-12-19,Yapı Kredi Bankası ATM - Nilüfer Balkan Mahallesi,13.0,31.08,0.0,0.0,2,1,0.003611111111111111,0.0,0.0
2025-12-19,Yapı Kredi Bankası ATM - Nilüfer Çalı Mahallesi,55.0,111.45,0.0,11.0,1,1,0.015277777777777777,0.0,0.0030555555555555557
2025-12-19,Yaylacık Mh.,18197.0,48328.56,21162.0,21162.0,991,13,5.054722222222222,5.878333333333333,5.878333333333333
2025-12-19,Yenikent Mh.,70388.0,609870.14,37383.0,40774.0,9132,40,19.552222222222223,10.384166666666667,11.32611111111111
2025-12-19,Yolçatı Mh.,3089.0,38100.46,0.0,0.0,543,19,0.8580555555555556,0.0,0.0
2025-12-19,Yüzüncüyıl Mh.,14458.0,28482.4,14997.0,15399.0,770,18,4.016111111111111,4.1658333333333335,4.2775
2025-12-19,Çalı Mh.,30379.0,60867.7,29397.0,32140.0,2015,10,8.438611111111111,8.165833333333333,8.927777777777777
2025-12-19,Çamlıca Mh.,3654.0,11127.79,17910.0,18594.0,543,4,1.015,4.975,5.165
2025-12-19,Çatalağıl Mh.,2229.0,17738.04,809.0,809.0,151,2,0.6191666666666666,0.2247222222222222,0.2247222222222222
2025-12-19,Özlüce Mh.,11652.0,30697.640000000003,10031.0,10031.0,678,4,3.236666666666667,2.786388888888889,2.786388888888889
2025-12-19,Ürünlü Mh.,13160.0,43358.57,9997.0,14933.0,1109,7,3.6555555555555554,2.7769444444444447,4.148055555555556
2025-12-19,Üçevler Mh.,182995.0,520149.36,171149.0,32833906.0,9342,42,50.831944444444446,47.54138888888889,9120.529444444444
2025-12-19,Üçpınar Mahallesi,5.0,150.41,0.0,0.0,5,1,0.001388888888888889,0.0,0.0
2025-12-19,Üçpınar Mh.,2533.0,39094.42,2531.0,2531.0,1327,1,0.7036111111111111,0.7030555555555555,0.7030555555555555
2025-12-19,İhsaniye Mh.,46001.0,122959.23999999999,64124.0,65215.0,4485,13,12.778055555555556,17.81222222222222,18.115277777777777
2025-12-19,İnegazi Mh.,271.0,9545.39,0.0,0.0,270,1,0.07527777777777778,0.0,0.0
2025-12-19,İrfaniye Mh.,897.0,9469.79,59.0,59.0,145,8,0.24916666666666668,0.01638888888888889,0.01638888888888889
2025-12-20,19 Mayıs Mh.,237.0,3687.39,218.0,218.0,20,4,0.06583333333333333,0.06055555555555556,0.06055555555555556
2025-12-20,23 Nisan Mh.,27612.0,296450.2,4785.0,29900.0,1666,40,7.67,1.3291666666666666,8.305555555555555
2025-12-20,29 Ekim Mh.,16749.0,209309.1,14861.0,16816.0,1098,23,4.6525,4.128055555555555,4.671111111111111
2025-12-20,30 Ağustos Zafer Mh.,1172.0,58377.52,220.0,220.0,533,4,0.32555555555555554,0.06111111111111111,0.06111111111111111
2025-12-20,Ahmet Yesevi Mh.,26744.0,227889.22,27901.0,30432.0,1488,39,7.428888888888889,7.750277777777778,8.453333333333333
2025-12-20,Akçalar Mh.,18152.0,229044.1,16534.0,16534.0,1266,3,5.042222222222223,4.592777777777778,4.592777777777778
2025-12-20,Alaaddinbey Mh.,1309065.0,2177774.8000000003,34956692.0,184268319.0,15025,43,363.62916666666666,9710.192222222222,51185.644166666665
2025-12-20,Altınşehir Mh.,30999.0,344330.85,34042.0,36388.0,1730,19,8.610833333333334,9.456111111111111,10.107777777777779
2025-12-20,Ataevler Mh.,28154.0,139264.56,29884.0,52908.0,1350,18,7.820555555555556,8.301111111111112,14.696666666666667
2025-12-20,Badırga Mahallesi,10.0,175.33,0.0,0.0,1,1,0.002777777777777778,0.0,0.0
2025-12-20,Badırga Mh.,2979.0,38691.479999999996,2025.0,2025.0,184,2,0.8275,0.5625,0.5625
2025-12-20,Balat Mh.,42447.0,483229.27999999997,45731.0,46063.0,3112,41,11.790833333333333,12.703055555555556,12.795277777777779
2025-12-20,Balat OSB Mh.,3852.0,94785.24,535.0,784.0,537,37,1.07,0.1486111111111111,0.21777777777777776
2025-12-20,Balkan Mh.,22378.0,233951.72999999998,25238.0,25238.0,2625,3,6.216111111111111,7.010555555555555,7.010555555555555
2025-12-20,Barış Mh.,9639.0,62156.4,12815.0,13994.0,481,11,2.6775,3.5597222222222222,3.8872222222222224
2025-12-20,Başköy Mh.,9494.0,119409.67,7761.0,7761.0,750,3,2.6372222222222224,2.1558333333333333,2.1558333333333333
2025-12-20,Beşevler Mh.,36153.0,648384.8400000001,61031.0,106836.0,4446,24,10.0425,16.953055555555554,29.676666666666666
2025-12-20,Büyükbalıklı Mahallesi,10.0,170.93,0.0,0.0,1,1,0.002777777777777778,0.0,0.0
2025-12-20,Büyükbalıklı Mh.,4263.0,66437.27,3159.0,3159.0,362,4,1.1841666666666666,0.8775,0.8775
2025-12-20,Cumhuriyet Mh.,7286.0,62165.64,2776.0,21504.0,360,8,2.023888888888889,0.7711111111111111,5.973333333333334
2025-12-20,Dağyenice Mh.,5070.0,233055.45,3519.0,3519.0,1665,2,1.4083333333333334,0.9775,0.9775
2025-12-20,Demirci Mh.,45302.0,309489.15,39350.0,48221.0,2988,28,12.58388888888889,10.930555555555555,13.394722222222223
2025-12-20,Doğanköy Mh.,19113.0,354898.01,16956.0,17005.0,1998,27,5.309166666666667,4.71,4.723611111111111
2025-12-20,Dumlupınar Mh.,40203.0,299595.38,35735.0,40814.0,2169,9,11.1675,9.926388888888889,11.337222222222222
2025-12-20,Ertuğrul Mh.,16291.0,197839.47,14632.0,15286.0,1235,29,4.525277777777778,4.064444444444445,4.246111111111111
2025-12-20,Esentepe Mh.,6770.0,98552.43000000001,2477.0,7115.0,510,8,1.8805555555555555,0.6880555555555555,1.976388888888889
2025-12-20,Fethiye Mh.,23734.0,138259.5,17690.0,18862.0,1020,19,6.592777777777778,4.913888888888889,5.239444444444445
2025-12-20,Fethiye OSB Mh.,13272.0,346685.05,2342.0,2693.0,1905,37,3.6866666666666665,0.6505555555555556,0.7480555555555556
2025-12-20,Geçit Mh.,46356.0,1028394.51,4076.0,31456.0,5991,41,12.876666666666667,1.1322222222222222,8.737777777777778
2025-12-20,Gökçe Mh.,2368.0,46557.78,1712.0,1712.0,237,4,0.6577777777777778,0.47555555555555556,0.47555555555555556
2025-12-20,Gökçeköy Mahallesi,44.0,942.6600000000001,46.0,46.0,5,1,0.012222222222222223,0.012777777777777779,0.012777777777777779
2025-12-20,Görükle Mh.,56605.0,622567.83,55625.0,76084.0,3432,16,15.723611111111111,15.45138888888889,21.134444444444444
2025-12-20,Gümüştepe Mh.,15929.0,374708.4199999999,22213.0,22213.0,2958,8,4.424722222222222,6.170277777777778,6.170277777777778
2025-12-20,Hasanağa Mh.,546.0,12417.46,12.0,12.0,66,2,0.15166666666666667,0.0033333333333333335,0.0033333333333333335
2025-12-20,Hasanağa OSB Mh.,201.0,3550.0299999999997,0.0,0.0,21,1,0.05583333333333333,0.0,0.0
2025-12-20,Işıktepe Mh.,2970.0,41829.38,81.0,8819.0,223,36,0.825,0.0225,2.4497222222222224
2025-12-20,Işıktepe OSB Mh.,5144.0,131580.2,1856.0,2081.0,746,37,1.4288888888888889,0.5155555555555555,0.5780555555555555
2025-12-20,Karacaoba Mh.,964.0,17293.12,665.0,665.0,107,1,0.2677777777777778,0.18472222222222223,0.18472222222222223
2025-12-20,Karaman Mh.,6424.0,86501.96,3641.0,8868.0,587,7,1.7844444444444445,1.011388888888889,2.4633333333333334
2025-12-20,Kayapa Mh.,5448.0,99734.37999999999,4178.0,4178.0,625,4,1.5133333333333334,1.1605555555555556,1.1605555555555556
2025-12-20,Konak Mh.,46107.0,398446.74,57438.0,62900.0,2746,17,12.8075,15.955,17.47222222222222
2025-12-20,Konaklı Mahallesi,6.0,175.9,0.0,0.0,1,1,0.0016666666666666668,0.0,0.0
2025-12-20,Konaklı Mh.,3922.0,61851.83,2918.0,2918.0,321,3,1.0894444444444444,0.8105555555555556,0.8105555555555556
2025-12-20,Kurtuluş Mh.,2009.0,31309.3,2336.0,2336.0,238,6,0.5580555555555555,0.6488888888888888,0.6488888888888888
2025-12-20,Kültür Mh.,29011.0,287749.95,34937.0,35452.0,2088,10,8.05861111111111,9.704722222222221,9.847777777777777
2025-12-20,Kızılcıklı Mh.,11066.0,248769.04,29656.0,29656.0,2202,2,3.073888888888889,8.237777777777778,8.237777777777778
2025-12-20,Minareliçavuş Bursa OSB Mh.,2479.0,63603.04,725.0,767.0,385,37,0.6886111111111111,0.2013888888888889,0.21305555555555555
2025-12-20,Minareliçavuş Mh.,20815.0,129141.79,19638.0,19638.0,1090,18,5.781944444444444,5.455,5.455
2025-12-20,Minareliçavuş OSB Mh.,1081.0,20951.85,133.0,133.0,138,13,0.30027777777777775,0.036944444444444446,0.036944444444444446
2025-12-20,Nilüferköy Mh.,5852.0,238792.02,309.0,323.0,1373,38,1.6255555555555556,0.08583333333333333,0.08972222222222222
2025-12-20,Odunluk Mh.,8864.0,137290.58,4997.0,10195.0,889,8,2.462222222222222,1.3880555555555556,2.8319444444444444
2025-12-20,Tahtalı Mahallesi,2.0,179.31,0.0,0.0,2,1,0.0005555555555555556,0.0,0.0
2025-12-20,Tahtalı Mh.,796.0,28491.210000000003,47.0,47.0,243,4,0.22111111111111112,0.013055555555555556,0.013055555555555556
2025-12-20,Yapı Kredi Bankası ATM - Bursa Görükle Çek Mahallesi,43.0,775.8100000000001,23.0,43.0,6,3,0.011944444444444445,0.006388888888888889,0.011944444444444445
2025-12-20,Yaylacık Mh.,688.0,18245.72,456.0,456.0,142,7,0.19111111111111112,0.12666666666666668,0.12666666666666668
2025-12-20,Yenikent Mh.,79115.0,1366679.05,367802.0,373815.0,8071,41,21.976388888888888,102.16722222222222,103.8375
2025-12-20,Yolçatı Mh.,29211.0,350636.63,24827.0,30453.0,2213,15,8.114166666666666,6.896388888888889,8.459166666666667
2025-12-20,Yüzüncüyıl Mh.,15215.0,114086.09,13919.0,14442.0,633,14,4.226388888888889,3.866388888888889,4.011666666666667
2025-12-20,Çalı Mh.,35939.0,420014.66000000003,32351.0,42487.0,2158,9,9.983055555555556,8.98638888888889,11.801944444444445
2025-12-20,Çamlıca Mh.,58489.0,305233.73,61290.0,99025.0,2410,10,16.246944444444445,17.025,27.506944444444443
2025-12-20,Çatalağıl Mh.,2344.0,33115.87,1568.0,1568.0,199,1,0.6511111111111111,0.43555555555555553,0.43555555555555553
2025-12-20,Çaylı Mahallesi,5.0,181.86,0.0,0.0,1,1,0.001388888888888889,0.0,0.0
2025-12-20,Çaylı Mh.,1434.0,24663.350000000002,794.0,794.0,123,2,0.3983333333333333,0.22055555555555556,0.22055555555555556
2025-12-20,Özlüce Mh.,8815.0,126843.98,8136.0,8136.0,458,3,2.448611111111111,2.26,2.26
2025-12-20,Ürünlü Mh.,491.0,8699.15,63.0,63.0,47,4,0.1363888888888889,0.0175,0.0175
2025-12-20,Üçevler Mh.,83249.0,1114053.39,54788.0,1386249.0,6407,42,23.12472222222222,15.21888888888889,385.06916666666666
2025-12-20,İhsaniye Mh.,36431.0,260040.03,46588.0,47422.0,2153,10,10.119722222222222,12.94111111111111,13.172777777777778
2025-12-20,İrfaniye Mahallesi,13.0,296.41999999999996,0.0,0.0,2,1,0.003611111111111111,0.0,0.0
2025-12-20,İrfaniye Mh.,6516.0,86112.70999999999,6573.0,6573.0,539,5,1.81,1.8258333333333334,1.8258333333333334
2025-12-21,19 Mayıs Mh.,4448.0,23447.64,8259.0,8259.0,105,2,1.2355555555555555,2.2941666666666665,2.2941666666666665
2025-12-21,23 Nisan Mh.,16698.0,318579.28,15079.0,15351.0,960,16,4.638333333333334,4.188611111111111,4.264166666666667
2025-12-21,29 Ekim Mh.,10650.0,200400.82,8882.0,10162.0,659,11,2.9583333333333335,2.4672222222222224,2.8227777777777776
2025-12-21,30 Ağustos Zafer Mh.,18334.0,152434.05,15504.0,35671.0,634,1,5.092777777777778,4.306666666666667,9.908611111111112
2025-12-21,Ahmet Yesevi Mh.,3109.0,74787.69,1179.0,1429.0,259,14,0.8636111111111111,0.3275,0.39694444444444443
2025-12-21,Alaaddinbey Mh.,1681161.0,2420750.92,97210276.0,389354794.0,12573,41,466.9891666666667,27002.854444444445,108154.10944444445
2025-12-21,Altınşehir Mh.,8344.0,139047.34,6169.0,28483.0,435,5,2.3177777777777777,1.7136111111111112,7.911944444444444
