date,vehicle_id,vehicle_type,stops_used,opt_km,baseline_alpha_km,baseline_random_mean_km,baseline_random_p10_km,baseline_random_p90_km
2025-11-26,4611,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-11-26,9935,UNKNOWN,13,6.134,12.725,19.91,16.75,23.518
2025-11-27,9935,UNKNOWN,12,4.848,8.193,11.168,9.052,12.78
2025-11-28,9935,UNKNOWN,2,2.241,2.241,2.241,2.241,2.241
2025-11-29,9935,UNKNOWN,9,4.591,4.911,8.458,6.698,9.3
2025-11-30,9935,UNKNOWN,7,4.272,4.877,7.184,5.278,8.559
2025-12-01,9935,UNKNOWN,11,6.12,10.855,13.295,11.659,15.171
2025-12-02,9935,UNKNOWN,2,2.099,2.099,2.099,2.099,2.099
2025-12-16,9935,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-17,9935,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-19,1106,UNKNOWN,15,4.568,6.983,15.528,13.483,17.997
2025-12-19,1409,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-19,1434,UNKNOWN,17,14.376,37.583,46.917,37.781,55.38
2025-12-19,1488,UNKNOWN,8,6.307,10.847,13.288,10.188,15.783
2025-12-19,1520,UNKNOWN,2,0.053,0.053,0.053,0.053,0.053
2025-12-19,1711,UNKNOWN,4,18.512,25.424,28.142,18.951,35.985
2025-12-19,2291,UNKNOWN,5,11.276,11.276,18.955,11.608,21.982
2025-12-19,2424,UNKNOWN,11,13.847,13.981,33.017,27.006,38.505
2025-12-19,2519,UNKNOWN,6,10.926,10.926,19.075,14.422,22.321
2025-12-19,2535,UNKNOWN,6,23.452,24.756,41.695,31.476,51.035
2025-12-19,2584,UNKNOWN,16,11.651,13.665,69.148,53.236,84.176
2025-12-19,2674,UNKNOWN,10,10.603,11.188,19.893,13.637,22.31
2025-12-19,2679,UNKNOWN,8,8.386,9.026,15.698,10.696,18.517
2025-12-19,2824,UNKNOWN,12,14.269,14.618,35.011,29.914,40.377
2025-12-19,3045,UNKNOWN,8,5.944,5.944,16.276,11.565,21.782
2025-12-19,3286,UNKNOWN,9,13.778,13.968,27.974,20.098,36.46
2025-12-19,3547,UNKNOWN,11,10.159,20.703,29.463,24.796,34.765
2025-12-19,3615,UNKNOWN,17,33.559,49.042,84.454,74.361,94.307
2025-12-19,4257,UNKNOWN,15,22.761,45.38,80.483,59.688,98.478
2025-12-19,4527,UNKNOWN,9,10.269,10.767,20.342,15.663,24.911
2025-12-19,4582,UNKNOWN,7,12.274,12.265,23.562,18.174,29.892
2025-12-19,4657,UNKNOWN,2,0.007,0.007,0.007,0.007,0.007
2025-12-19,4811,UNKNOWN,5,9.762,10.556,21.986,10.993,28.753
2025-12-19,5012,UNKNOWN,7,21.727,22.864,35.103,29.366,41.184
2025-12-19,5333,UNKNOWN,9,8.608,8.985,16.138,12.097,18.229
2025-12-19,5506,UNKNOWN,8,7.636,8.23,12.679,8.469,14.623
2025-12-19,5552,UNKNOWN,11,8.178,8.987,26.722,20.392,32.19
2025-12-19,5557,UNKNOWN,7,19.822,25.503,56.913,40.983,76.856
2025-12-19,5803,UNKNOWN,9,7.697,13.131,21.765,16.64,27.029
2025-12-19,6514,UNKNOWN,7,11.518,11.518,25.723,18.071,31.77
2025-12-19,6574,UNKNOWN,23,21.537,29.745,78.146,62.301,89.549
2025-12-19,6635,UNKNOWN,11,7.378,8.285,22.564,14.995,27.477
2025-12-19,6881,UNKNOWN,7,5.566,6.158,15.953,11.019,20.043
2025-12-19,7201,UNKNOWN,7,7.583,7.59,14.048,10.614,17.328
2025-12-19,7224,UNKNOWN,3,0.313,0.308,0.368,0.308,0.515
2025-12-19,7873,UNKNOWN,5,17.646,17.675,29.755,24.395,36.966
2025-12-19,7912,UNKNOWN,16,10.786,11.697,24.351,19.642,26.685
2025-12-19,7924,UNKNOWN,19,25.852,42.443,78.876,69.311,88.085
2025-12-19,8359,UNKNOWN,5,9.9,9.9,15.43,10.815,19.128
2025-12-19,8527,UNKNOWN,5,4.544,4.531,9.775,4.667,12.712
2025-12-19,9279,UNKNOWN,7,8.131,8.969,17.89,10.327,24.362
2025-12-19,9785,UNKNOWN,10,7.508,11.016,16.915,14.075,19.829
2025-12-19,9928,UNKNOWN,8,10.735,17.971,30.566,21.169,36.741
2025-12-20,1106,UNKNOWN,18,13.846,14.557,77.12,58.115,95.29
2025-12-20,1434,UNKNOWN,25,17.305,31.129,47.492,42.606,51.9
2025-12-20,1488,UNKNOWN,6,5.657,7.574,9.796,7.004,11.956
2025-12-20,1520,UNKNOWN,2,14.01,14.01,14.01,14.01,14.01
2025-12-20,1711,UNKNOWN,13,5.742,9.8,23.401,17.885,28.964
2025-12-20,2291,UNKNOWN,8,12.788,22.247,44.304,14.662,62.836
2025-12-20,2424,UNKNOWN,9,12.363,12.363,23.329,19.628,26.444
2025-12-20,2519,UNKNOWN,9,9.562,9.562,30.402,17.347,38.162
2025-12-20,2535,UNKNOWN,10,37.257,43.049,79.091,58.104,100.229
2025-12-20,2584,UNKNOWN,4,8.628,8.628,16.954,8.662,22.687
2025-12-20,2674,UNKNOWN,7,9.817,10.019,18.303,11.759,20.743
2025-12-20,2679,UNKNOWN,10,3.591,3.591,6.814,5.824,7.711
2025-12-20,2824,UNKNOWN,11,6.5,7.048,12.896,10.158,14.289
2025-12-20,3045,UNKNOWN,7,4.863,5.253,12.802,8.774,16.663
2025-12-20,3286,UNKNOWN,7,7.405,7.469,17.036,9.9,23.133
2025-12-20,3547,UNKNOWN,11,18.502,31.321,41.839,35.702,48.611
2025-12-20,3615,UNKNOWN,20,33.748,58.754,113.332,97.802,125.373
2025-12-20,4257,UNKNOWN,22,28.833,65.633,135.543,115.382,161.127
2025-12-20,4527,UNKNOWN,11,14.339,17.101,31.898,27.768,36.377
2025-12-20,4582,UNKNOWN,4,9.799,9.799,14.268,10.127,19.366
2025-12-20,4657,UNKNOWN,10,12.841,17.172,30.057,24.284,35.494
2025-12-20,4811,UNKNOWN,6,10.267,12.052,16.912,11.753,21.073
2025-12-20,5012,UNKNOWN,8,9.897,10.057,16.457,10.496,19.409
2025-12-20,5333,UNKNOWN,8,16.572,16.833,38.033,30.597,45.527
2025-12-20,5506,UNKNOWN,6,2.933,3.85,4.476,3.773,5.355
2025-12-20,5552,UNKNOWN,14,13.605,14.299,34.688,29.743,40.01
2025-12-20,5557,UNKNOWN,4,16.369,16.369,23.215,16.353,31.773
2025-12-20,5803,UNKNOWN,9,13.117,13.117,35.955,26.834,45.584
2025-12-20,6514,UNKNOWN,12,22.152,17.985,60.261,50.45,69.631
2025-12-20,6574,UNKNOWN,17,22.704,24.735,68.589,56.944,77.132
2025-12-20,6635,UNKNOWN,3,6.088,6.088,8.575,6.088,11.574
2025-12-20,6881,UNKNOWN,6,5.543,5.853,10.763,7.196,13.312
2025-12-20,7201,UNKNOWN,7,13.07,12.873,32.308,23.067,42.897
2025-12-20,7224,UNKNOWN,7,7.016,8.369,12.539,10.111,15.102
2025-12-20,7873,UNKNOWN,5,4.578,5.653,8.07,6.636,10.045
2025-12-20,7912,UNKNOWN,7,12.79,15.468,21.957,17.901,24.516
2025-12-20,7924,UNKNOWN,23,34.172,80.866,105.863,92.862,118.896
2025-12-20,8359,UNKNOWN,4,4.501,4.501,7.008,4.737,9.423
2025-12-20,8527,UNKNOWN,5,5.634,5.895,8.895,6.242,10.167
2025-12-20,9279,UNKNOWN,14,10.266,18.365,43.607,36.136,49.988
2025-12-20,9785,UNKNOWN,8,13.696,13.87,24.899,19.401,31.229
2025-12-20,9928,UNKNOWN,6,13.939,16.092,31.026,22.416,41.845
2025-12-21,1106,UNKNOWN,10,10.7,10.946,19.881,13.039,21.699
2025-12-21,1434,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-21,2519,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-21,2674,UNKNOWN,6,9.124,9.932,15.438,9.771,18.353
2025-12-21,2824,UNKNOWN,10,6.906,7.623,12.476,10.216,14.017
2025-12-21,3045,UNKNOWN,4,15.171,15.171,18.226,15.436,21.436
2025-12-21,3547,UNKNOWN,5,5.876,6.412,11.299,7.331,13.939
2025-12-21,3615,UNKNOWN,3,10.048,10.048,11.432,9.236,15.367
2025-12-21,4257,UNKNOWN,14,22.46,46.002,79.841,59.133,96.487
2025-12-21,4527,UNKNOWN,2,2.382,2.382,2.382,2.382,2.382
2025-12-21,4811,UNKNOWN,7,10.036,11.433,17.439,12.472,21.602
2025-12-21,5552,UNKNOWN,3,2.514,2.514,3.311,2.514,4.985
2025-12-21,5557,UNKNOWN,10,29.427,42.245,46.078,40.11,51.621
2025-12-21,7201,UNKNOWN,3,22.431,22.76,21.366,19.236,22.76
2025-12-21,7924,UNKNOWN,16,28.778,54.631,83.05,71.211,94.972
2025-12-21,9279,UNKNOWN,9,23.22,50.378,51.79,40.584,61.48
2025-12-21,9785,UNKNOWN,4,13.846,13.846,18.308,15.196,20.553
2025-12-21,9928,UNKNOWN,7,10.912,18.202,19.399,14.936,21.952
2025-12-22,1106,UNKNOWN,17,13.567,15.756,46.281,35.492,52.834
2025-12-22,1409,UNKNOWN,7,15.17,15.345,25.271,16.909,30.931
2025-12-22,1434,UNKNOWN,16,8.503,22.138,40.474,33.55,47.265
2025-12-22,1488,UNKNOWN,11,6.79,15.109,16.121,13.802,18.383
2025-12-22,1520,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-22,1711,UNKNOWN,4,19.589,33.92,26.895,19.589,34.012
2025-12-22,2291,UNKNOWN,12,27.191,28.837,50.71,42.267,57.254
2025-12-22,2424,UNKNOWN,22,15.384,26.595,48.066,40.501,53.821
2025-12-22,2519,UNKNOWN,8,9.511,9.511,18.87,14.135,22.457
2025-12-22,2535,UNKNOWN,4,10.015,10.015,13.431,10.083,19.594
2025-12-22,2584,UNKNOWN,12,21.902,22.222,48.804,35.66,61.178
2025-12-22,2674,UNKNOWN,12,10.288,10.615,20.62,14.768,22.56
2025-12-22,2679,UNKNOWN,7,8.423,8.936,15.158,9.959,17.573
2025-12-22,2824,UNKNOWN,13,6.754,7.877,13.409,10.076,15.01
2025-12-22,3045,UNKNOWN,6,6.386,8.132,11.163,8.45,13.126
2025-12-22,3286,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-22,3547,UNKNOWN,13,10.399,17.852,24.668,21.427,27.276
2025-12-22,3615,UNKNOWN,27,27.29,39.547,111.118,98.862,121.407
2025-12-22,4257,UNKNOWN,17,24.005,47.415,100.773,77.79,116.471
2025-12-22,4527,UNKNOWN,6,14.677,14.677,24.405,19.908,28.811
2025-12-22,4582,UNKNOWN,8,13.606,14.891,31.935,25.485,37.82
2025-12-22,4657,UNKNOWN,15,12.648,12.868,25.954,19.157,29.879
2025-12-22,4811,UNKNOWN,6,9.722,10.622,17.051,11.351,19.832
2025-12-22,5012,UNKNOWN,8,16.347,16.347,31.813,24.877,38.394
2025-12-22,5333,UNKNOWN,11,7.626,9.213,17.425,14.222,20.306
2025-12-22,5506,UNKNOWN,15,13.824,16.073,34.792,27.823,39.387
2025-12-22,5552,UNKNOWN,15,11.305,13.282,29.168,23.661,32.851
2025-12-22,5557,UNKNOWN,8,23.046,25.279,68.92,48.84,84.834
2025-12-22,5803,UNKNOWN,17,14.919,21.283,45.328,40.117,50.675
2025-12-22,6514,UNKNOWN,7,13.163,13.163,28.009,20.529,34.715
2025-12-22,6574,UNKNOWN,31,31.482,49.518,102.314,91.301,112.822
2025-12-22,6635,UNKNOWN,22,13.836,15.102,37.372,31.399,40.974
2025-12-22,6881,UNKNOWN,8,13.362,13.613,22.635,18.752,26.832
2025-12-22,7201,UNKNOWN,9,9.115,9.717,18.432,15.921,21.953
2025-12-22,7224,UNKNOWN,5,7.021,10.18,11.385,9.654,13.548
2025-12-22,7873,UNKNOWN,4,10.372,10.372,16.429,12.796,18.967
2025-12-22,7912,UNKNOWN,16,13.038,13.965,26.62,20.773,28.761
2025-12-22,7924,UNKNOWN,26,35.988,52.679,131.976,116.771,145.28
2025-12-22,8359,UNKNOWN,9,11.156,12.188,20.838,15.967,23.036
2025-12-22,8527,UNKNOWN,6,7.566,12.938,13.575,10.778,15.82
2025-12-22,9279,UNKNOWN,6,7.344,8.726,17.107,9.486,21.633
2025-12-22,9785,UNKNOWN,12,7.589,10.656,19.561,17.069,22.282
2025-12-22,9928,UNKNOWN,6,18.182,28.342,30.206,21.576,39.59
2025-12-23,1106,UNKNOWN,20,18.612,23.478,96.356,79.419,116.475
2025-12-23,1409,UNKNOWN,8,7.269,7.269,12.949,8.655,15.25
2025-12-23,1434,UNKNOWN,24,13.655,21.953,52.949,47.089,57.379
2025-12-23,1488,UNKNOWN,7,5.541,6.197,13.887,6.618,18.862
2025-12-23,1520,UNKNOWN,2,14.384,14.384,14.384,14.384,14.384
2025-12-23,1711,UNKNOWN,13,12.95,16.667,35.052,28.959,39.718
2025-12-23,2291,UNKNOWN,3,11.564,19.073,14.615,11.564,19.073
2025-12-23,2424,UNKNOWN,10,15.913,15.913,41.006,32.462,48.841
2025-12-23,2519,UNKNOWN,8,9.704,10.207,18.599,12.923,21.628
2025-12-23,2535,UNKNOWN,7,35.333,45.151,57.44,44.279,68.676
2025-12-23,2584,UNKNOWN,8,20.994,21.18,33.8,23.388,42.506
2025-12-23,2674,UNKNOWN,6,9.254,9.462,15.118,9.945,18.309
2025-12-23,2679,UNKNOWN,9,3.173,3.192,6.013,4.957,7.04
2025-12-23,2824,UNKNOWN,18,12.176,12.912,39.43,32.185,45.748
2025-12-23,3045,UNKNOWN,13,6.542,7.212,19.536,15.475,22.605
2025-12-23,3286,UNKNOWN,11,10.991,11.36,41.392,30.715,51.347
2025-12-23,3547,UNKNOWN,12,11.255,18.774,30.281,25.608,35.238
2025-12-23,3615,UNKNOWN,18,27.064,41.112,67.075,59.023,74.191
2025-12-23,4257,UNKNOWN,17,22.346,44.808,94.963,79.035,111.741
2025-12-23,4527,UNKNOWN,11,6.07,6.452,18.761,13.001,22.037
2025-12-23,4582,UNKNOWN,4,11.827,11.827,15.849,12.022,18.491
2025-12-23,4657,UNKNOWN,11,27.365,27.325,65.866,46.029,84.058
2025-12-23,4811,UNKNOWN,7,10.246,12.312,18.676,12.494,22.295
2025-12-23,5012,UNKNOWN,13,18.127,18.485,35.614,28.632,41.077
2025-12-23,5506,UNKNOWN,7,2.764,3.003,6.227,4.897,7.544
2025-12-23,5552,UNKNOWN,10,8.89,9.088,18.08,14.37,20.611
2025-12-23,5557,UNKNOWN,4,16.425,16.425,23.946,16.553,32.034
2025-12-23,5803,UNKNOWN,13,16.318,18.928,54.561,44.508,66.988
2025-12-23,6514,UNKNOWN,9,21.969,17.993,48.994,38.422,59.937
2025-12-23,6574,UNKNOWN,25,22.955,30.22,86.542,73.344,100.239
2025-12-23,6635,UNKNOWN,11,12.841,13.543,23.393,20.048,26.512
2025-12-23,6881,UNKNOWN,11,5.852,6.944,15.198,12.018,18.038
2025-12-23,7201,UNKNOWN,12,18.211,24.301,65.375,53.436,80.392
2025-12-23,7224,UNKNOWN,6,9.192,10.322,15.177,11.911,18.818
2025-12-23,7873,UNKNOWN,10,11.608,11.68,26.547,21.297,31.848
2025-12-23,7912,UNKNOWN,6,12.943,14.425,26.589,16.083,34.827
2025-12-23,7924,UNKNOWN,25,29.869,60.269,127.141,107.153,146.367
2025-12-23,8359,UNKNOWN,4,4.294,4.294,6.781,4.621,8.219
2025-12-23,8527,UNKNOWN,4,10.371,10.371,15.512,10.371,19.302
2025-12-23,9279,UNKNOWN,11,18.647,31.976,42.092,35.218,48.086
2025-12-23,9785,UNKNOWN,8,11.249,11.249,23.787,16.118,29.748
2025-12-23,9928,UNKNOWN,5,11.229,11.229,25.952,12.653,38.258
2025-12-24,1106,UNKNOWN,23,14.252,19.529,41.94,36.837,45.448
2025-12-24,1409,UNKNOWN,6,14.529,14.529,22.54,15.873,28.699
2025-12-24,1434,UNKNOWN,20,17.904,43.876,60.477,50.512,69.984
2025-12-24,1488,UNKNOWN,4,5.124,5.124,7.702,5.684,9.9
2025-12-24,1520,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-24,1711,UNKNOWN,5,17.198,23.609,24.089,17.479,29.224
2025-12-24,2291,UNKNOWN,3,11.411,11.411,14.698,11.411,21.43
2025-12-24,2424,UNKNOWN,15,15.222,15.693,37.318,32.924,41.544
2025-12-24,2519,UNKNOWN,7,11.21,11.231,19.662,14.599,23.678
2025-12-24,2535,UNKNOWN,2,9.002,9.002,9.002,9.002,9.002
2025-12-24,2584,UNKNOWN,7,9.307,9.307,16.679,11.04,19.99
2025-12-24,2674,UNKNOWN,7,9.909,10.1,15.979,11.061,20.349
2025-12-24,2679,UNKNOWN,7,8.323,8.982,14.847,10.406,17.598
2025-12-24,2824,UNKNOWN,10,11.624,12.039,21.624,18.417,23.783
2025-12-24,3045,UNKNOWN,8,5.715,5.728,16.302,10.676,21.109
2025-12-24,3286,UNKNOWN,4,9.971,9.971,14.991,10.398,17.933
2025-12-24,3547,UNKNOWN,14,10.293,21.667,38.367,30.448,46.261
2025-12-24,3615,UNKNOWN,19,23.106,44.572,71.958,58.331,84.374
2025-12-24,4257,UNKNOWN,17,23.143,46.956,99.985,77.194,117.322
2025-12-24,4527,UNKNOWN,3,5.67,5.923,6.734,5.67,10.382
2025-12-24,4582,UNKNOWN,3,9.698,9.698,13.016,9.698,14.728
2025-12-24,4657,UNKNOWN,9,26.155,43.543,52.33,38.372,68.737
2025-12-24,4811,UNKNOWN,4,9.316,9.535,13.727,9.535,18.857
2025-12-24,5012,UNKNOWN,5,15.5,15.5,22.761,18.364,27.641
2025-12-24,5506,UNKNOWN,12,7.659,8.622,14.869,9.862,16.152
2025-12-24,5552,UNKNOWN,3,2.105,2.105,2.732,2.105,4.189
2025-12-24,5557,UNKNOWN,16,27.012,40.876,120.581,98.009,147.371
2025-12-24,5803,UNKNOWN,15,15.379,21.362,57.507,48.686,65.931
2025-12-24,6514,UNKNOWN,6,13.237,13.898,26.936,19.464,32.567
2025-12-24,6574,UNKNOWN,24,31.539,52.99,96.291,84.931,108.445
2025-12-24,6635,UNKNOWN,16,13.63,15.07,42.638,33.335,50.79
2025-12-24,6881,UNKNOWN,7,5.698,6.607,12.429,8.625,16.276
2025-12-24,7201,UNKNOWN,5,7.363,7.363,10.715,9.204,12.719
2025-12-24,7224,UNKNOWN,6,9.901,10.12,21.225,14.841,27.985
2025-12-24,7873,UNKNOWN,4,10.374,10.374,17.268,15.037,21.76
2025-12-24,7912,UNKNOWN,3,1.588,1.588,1.971,1.588,3.169
2025-12-24,7924,UNKNOWN,22,31.987,63.237,98.586,85.784,109.752
2025-12-24,8359,UNKNOWN,7,4.829,5.04,8.947,6.648,10.406
2025-12-24,8527,UNKNOWN,4,6.705,7.64,10.649,6.736,13.866
2025-12-24,9279,UNKNOWN,5,6.583,8.477,11.609,8.038,14.068
2025-12-24,9785,UNKNOWN,6,6.645,6.772,12.961,9.977,15.49
2025-12-24,9928,UNKNOWN,6,10.658,17.53,17.035,11.604,20.349
2025-12-24,9935,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,1106,UNKNOWN,2,9.566,9.566,9.566,9.566,9.566
2025-12-25,1409,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,1434,UNKNOWN,3,3.191,3.519,4.199,3.191,5.953
2025-12-25,1488,UNKNOWN,2,0.741,0.741,0.741,0.741,0.741
2025-12-25,2424,UNKNOWN,3,0.525,0.525,0.538,0.525,0.555
2025-12-25,2674,UNKNOWN,2,1.057,1.057,1.057,1.057,1.057
2025-12-25,2679,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,2824,UNKNOWN,4,0.751,0.751,1.053,0.821,1.343
2025-12-25,3045,UNKNOWN,3,0.452,0.452,0.592,0.452,0.745
2025-12-25,3286,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,3547,UNKNOWN,2,4.006,4.006,4.006,4.006,4.006
2025-12-25,3615,UNKNOWN,7,11.93,12.407,19.654,16.383,22.628
2025-12-25,4257,UNKNOWN,7,19.049,28.745,32.64,25.786,38.973
2025-12-25,4527,UNKNOWN,3,4.433,4.433,6.02,4.433,8.826
2025-12-25,4811,UNKNOWN,2,0.067,0.067,0.067,0.067,0.067
2025-12-25,5012,UNKNOWN,2,8.791,8.791,8.791,8.791,8.791
2025-12-25,5506,UNKNOWN,2,0.307,0.307,0.307,0.307,0.307
2025-12-25,5552,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,5803,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,6514,UNKNOWN,2,0.115,0.115,0.115,0.115,0.115
2025-12-25,6574,UNKNOWN,3,4.34,4.509,5.599,4.34,8.324
2025-12-25,6635,UNKNOWN,3,0.751,0.751,0.963,0.751,1.141
2025-12-25,6881,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,7201,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,7912,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
2025-12-25,7924,UNKNOWN,10,27.021,46.547,57.894,46.667,67.632
2025-12-25,8527,UNKNOWN,2,0.701,0.701,0.701,0.701,0.701
2025-12-25,9279,UNKNOWN,2,5.193,5.193,5.193,5.193,5.193
2025-12-25,9785,UNKNOWN,2,0.266,0.266,0.266,0.266,0.266
2025-12-25,9928,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0
