AY,YIL,Yer Üstü Tonaj (TON),Yer Altı Tonaj (TON),Toplam Tonaj (TON),Ortalama Günlük Tonaj (TON)
OCAK,2024,14435.68,1675.53,16111.21,537.0403333
ŞUBAT,2024,13222.74,1475.78,14698.52,489.9506667
MART,2024,13316.94,1506.25,14823.19,494.1063333,
NİSAN,2024,12473.85,1496.39,13970.24,465.6746667
MAYIS,2024,15214.12,2338.49,17552.61,585.087
HAZİRAN,2024,16785.73,2517.5,19303.23,643.441
TEMMUZ,2024,16361.5,1907.77,18269.27,608.9756667
AĞUSTOS,2024,15519.6,1896.49,17416.09,580.5363333
EYLÜL,2024,15464.21,1872.42,17336.63,577.8876667
EKİM,2024,15108.86,1805.06,16913.92,563.7973333
KASIM,2024,14694.07,1693.82,16387.89,546.263
ARALIK,2024,15407.27,1762.12,17169.39,572.313
OCAK,2025,14449.77,1768.02,16217.79,540.593
ŞUBAT,2025,12813.1,1581.46,14394.56,479.8186667
MART,2025,14338.02,1807.1,16145.12,538.1706667
NİSAN,2025,14321.71,1709,16030.71,534.357
MAYIS,2025,15664.32,1793.34,17457.66,581.922
HAZİRAN,2025,15629.78,1811.44,17441.22,581.374
TEMMUZ,2025,16918.59,1936.21,18854.8,628.4933333
AĞUSTOS,2025,19178.71,1524.3,20703.01,690.1003333
EYLÜL,2025,17471.31,1411.95,18883.26,629.442
EKİM,2025,17499.06,1204.91,18703.97,623.4656667
KASIM,2025,16358.44,1361.44,17719.88,590.6626667